"Edge","Link","Interface","Outage Time","Recovery Time","Outage Duration"
"101619","VID 3001","GE4","01/02/2023 06:00:11","01/02/2023 06:03:34","203.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 06:00:36","01/02/2023 06:00:43","7.0"
"101733","74.49.174.204","GE1","01/02/2023 06:01:11","01/02/2023 06:03:20","129.0"
"102059","66.163.28.139","GE3","01/02/2023 06:01:13","01/02/2023 06:02:51","98.0"
"101490","207.219.150.151","GE2","01/02/2023 06:01:28","01/02/2023 06:02:14","46.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 06:01:36","01/02/2023 06:01:55","19.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 06:02:42","01/02/2023 06:02:59","17.0"
"101717","66.163.28.139 GE3","GE3","01/02/2023 06:03:13","01/02/2023 06:03:55","42.0"
"100979","DSL 905-883-5218","GE3","01/02/2023 06:03:17","01/02/2023 06:04:57","100.0"
"101975","216.21.135.198 2507161069","GE4","01/02/2023 06:03:26","01/02/2023 06:04:03","37.0"
"103754","66.163.28.139","GE4","01/02/2023 06:03:29","01/02/2023 06:03:36","7.0"
"102059","66.163.28.139","GE3","01/02/2023 06:03:40","01/02/2023 06:10:13","393.0"
"103754","66.163.28.139","GE4","01/02/2023 06:03:51","01/02/2023 06:04:31","40.0"
"101490","207.219.150.151","GE2","01/02/2023 06:03:59","01/02/2023 06:05:16","77.0"
"100352","66.163.28.139","GE4","01/02/2023 06:04:09","01/02/2023 06:04:50","41.0"
"100730","GoCo LTE Backup","GE6","01/02/2023 06:04:14","01/02/2023 06:06:43","149.0"
"101733","74.49.174.204","GE1","01/02/2023 06:04:44","01/02/2023 06:10:01","317.0"
"100382","66.163.28.139","GE3","01/02/2023 06:04:58","01/02/2023 06:08:42","224.0"
"101975","216.21.135.198 2507161069","GE4","01/02/2023 06:05:25","01/02/2023 06:06:07","42.0"
"101717","66.163.28.139 GE3","GE3","01/02/2023 06:05:30","01/02/2023 06:06:20","50.0"
"100637","66.163.28.139","GE4","01/02/2023 06:06:06","01/02/2023 06:06:13","7.0"
"106397","3G backup link","GE2","01/02/2023 06:06:43","01/02/2023 06:06:49","6.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 06:06:52","01/02/2023 06:07:07","15.0"
"101717","66.163.28.139 GE3","GE3","01/02/2023 06:06:54","01/02/2023 06:07:41","47.0"
"106397","3G backup link","GE2","01/02/2023 06:07:04","01/02/2023 06:07:05","1.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 06:08:04","01/02/2023 06:08:14","10.0"
"101646","74.49.143.204","GE3","01/02/2023 06:08:24","01/02/2023 06:08:32","8.0"
"101490","207.219.150.151","GE2","01/02/2023 06:09:04","01/02/2023 06:09:43","39.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 06:09:05","01/02/2023 06:09:14","9.0"
"102860","100.82.50.243","GE2","01/02/2023 06:09:18","01/02/2023 06:09:27","9.0"
"102860","207.179.134.77","GE1","01/02/2023 06:09:18","01/02/2023 06:09:27","9.0"
"100730","GoCo LTE Backup","GE6","01/02/2023 06:09:44","01/02/2023 06:09:44","0.0"
"106397","3G backup link","GE2","01/02/2023 06:09:47","01/02/2023 06:09:51","4.0"
"102646","207.219.150.150","GE4","01/02/2023 06:09:50","01/02/2023 06:11:05","75.0"
"100382","66.163.28.139","GE3","01/02/2023 06:09:58","01/02/2023 06:11:20","82.0"
"101733","74.49.174.204","GE1","01/02/2023 06:10:12","01/02/2023 06:11:43","91.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 06:10:17","01/02/2023 06:10:29","12.0"
"100426","207.219.150.145","GE4","01/02/2023 06:10:21","01/02/2023 06:11:06","45.0"
"102059","66.163.28.139","GE3","01/02/2023 06:10:43","01/02/2023 06:13:45","182.0"
"100805","216.21.135.198","GE2","01/02/2023 06:10:45","01/02/2023 06:10:52","7.0"
"100736","207.219.150.147","GE2","01/02/2023 06:11:00","01/02/2023 06:11:00","0.0"
"100382","66.163.28.139","GE3","01/02/2023 06:11:31","01/02/2023 06:14:34","183.0"
"101646","74.49.143.204","GE3","01/02/2023 06:11:44","01/02/2023 06:11:57","13.0"
"101646","74.49.143.204","GE3","01/02/2023 06:12:21","01/02/2023 06:12:30","9.0"
"101733","74.49.174.204","GE1","01/02/2023 06:12:22","01/02/2023 06:18:24","362.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 06:12:23","01/02/2023 06:12:42","19.0"
"100736","	Third Party Connectivity - Cogeco -120/20M","GE1","01/02/2023 06:12:29","01/02/2023 06:22:28","599.0"
"101646","74.49.143.204","GE3","01/02/2023 06:12:40","01/02/2023 06:12:58","18.0"
"101646","74.49.143.204","GE3","01/02/2023 06:13:14","01/02/2023 06:13:15","1.0"
"104471","GoCo LTE Backup","GE6","01/02/2023 06:13:16","01/02/2023 06:14:01","45.0"
"101490","207.219.150.151","GE2","01/02/2023 06:14:02","01/02/2023 06:14:14","12.0"
"102059","66.163.28.139","GE3","01/02/2023 06:14:24","01/02/2023 06:21:32","428.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 06:14:24","01/02/2023 06:14:35","11.0"
"101717","66.163.28.139 GE3","GE3","01/02/2023 06:15:02","01/02/2023 06:15:50","48.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 06:15:13","01/02/2023 06:15:29","16.0"
"100736","207.219.150.147","GE2","01/02/2023 06:15:18","01/02/2023 06:15:24","6.0"
"101619","VID 3001","GE4","01/02/2023 06:16:08","01/02/2023 06:16:56","48.0"
"102893","66.163.28.139","GE2","01/02/2023 06:16:17","01/02/2023 06:17:38","81.0"
"100637","66.163.28.139","GE4","01/02/2023 06:16:40","01/02/2023 06:16:48","8.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 06:16:41","01/02/2023 06:17:11","30.0"
"101646","74.49.143.204","GE3","01/02/2023 06:16:48","01/02/2023 06:16:57","9.0"
"101807","Cogeco - C14-685729-01","GE5","01/02/2023 06:17:06","01/02/2023 06:22:11","305.0"
"108517","Bell 50/10M VDSL  5143316214		E82C6DAEEB94","GE5","01/02/2023 06:18:07","01/02/2023 06:18:20","13.0"
"105547","66.163.28.139","GE6","01/02/2023 06:18:18","01/02/2023 06:19:43","85.0"
"100426","207.219.150.145","GE4","01/02/2023 06:18:21","01/02/2023 06:19:06","45.0"
"100844","207.219.150.148","GE4","01/02/2023 06:18:35","01/02/2023 06:20:20","105.0"
"100497","66.163.28.139","GE5","01/02/2023 06:18:38","01/05/2023 13:50:23","286305.0"
"101646","74.49.143.204","GE3","01/02/2023 06:18:48","01/02/2023 06:18:59","11.0"
"100805","216.21.135.198","GE2","01/02/2023 06:18:59","01/02/2023 06:19:06","7.0"
"101733","74.49.174.204","GE1","01/02/2023 06:19:11","01/02/2023 06:22:53","222.0"
"100382","66.163.28.139","GE3","01/02/2023 06:19:25","01/02/2023 06:25:15","350.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 06:19:54","01/02/2023 06:20:08","14.0"
"100637","66.163.28.139","GE4","01/02/2023 06:20:45","01/02/2023 06:20:52","7.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 06:21:34","01/02/2023 06:23:03","89.0"
"102059","66.163.28.139","GE3","01/02/2023 06:22:26","01/02/2023 06:29:12","406.0"
"101646","74.49.143.204","GE3","01/02/2023 06:22:31","01/02/2023 06:22:48","17.0"
"100637","66.163.28.139","GE4","01/02/2023 06:22:38","01/02/2023 06:22:41","3.0"
"101807","207.219.150.148","GE6","01/02/2023 06:22:41","01/02/2023 06:22:41","0.0"
"101646","74.49.143.204","GE3","01/02/2023 06:22:58","01/02/2023 06:23:05","7.0"
"101733","74.49.174.204","GE1","01/02/2023 06:23:07","01/02/2023 06:28:15","308.0"
"100730","GoCo LTE Backup","GE6","01/02/2023 06:23:33","01/02/2023 06:23:33","0.0"
"101490","207.219.150.151","GE2","01/02/2023 06:24:34","01/02/2023 06:24:52","18.0"
"105241","142.163.206.244","GE5","01/02/2023 06:24:56","01/02/2023 06:26:05","69.0"
"100736","207.219.150.147","GE2","01/02/2023 06:25:11","01/02/2023 06:25:11","0.0"
"101619","VID 3001","GE4","01/02/2023 06:25:28","01/02/2023 06:26:14","46.0"
"101717","66.163.28.139 GE3","GE3","01/02/2023 06:25:40","01/02/2023 06:26:27","47.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 06:25:43","01/02/2023 06:25:52","9.0"
"105241","207.219.150.148","GE6","01/02/2023 06:26:35","01/02/2023 06:26:35","0.0"
"100382","66.163.28.139","GE3","01/02/2023 06:26:37","01/02/2023 06:29:30","173.0"
"101619","VID 3001","GE4","01/02/2023 06:26:40","01/02/2023 06:27:25","45.0"
"100352","66.163.28.139","GE4","01/02/2023 06:27:29","01/02/2023 06:28:10","41.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 06:27:36","01/02/2023 06:27:51","15.0"
"105075","207.219.150.144","GE4","01/02/2023 06:27:48","01/02/2023 06:29:12","84.0"
"101717","66.163.28.139 GE3","GE3","01/02/2023 06:28:30","01/02/2023 06:28:38","8.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 06:28:38","01/02/2023 06:28:45","7.0"
"101619","VID 3001","GE4","01/02/2023 06:29:15","01/02/2023 06:30:02","47.0"
"101717","66.163.28.139 GE3","GE3","01/02/2023 06:29:20","01/02/2023 06:32:03","163.0"
"100637","66.163.28.139","GE4","01/02/2023 06:29:25","01/02/2023 06:29:31","6.0"
"103062","74.49.159.204","GE3","01/02/2023 06:29:30","01/02/2023 06:30:48","78.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 06:29:58","01/02/2023 06:30:13","15.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 06:31:29","01/02/2023 06:31:46","17.0"
"102059","66.163.28.139","GE3","01/02/2023 06:31:30","01/02/2023 06:33:25","115.0"
"100637","66.163.28.139","GE4","01/02/2023 06:31:41","01/02/2023 06:31:46","5.0"
"103062","74.49.159.204","GE3","01/02/2023 06:31:55","01/02/2023 06:33:15","80.0"
"100736","	Third Party Connectivity - Cogeco -120/20M","GE1","01/02/2023 06:32:01","01/02/2023 06:32:54","53.0"
"105075","207.219.150.144","GE4","01/02/2023 06:32:08","01/02/2023 06:32:19","11.0"
"108517","Bell 50/10M VDSL  5143316214		E82C6DAEEB94","GE5","01/02/2023 06:32:26","01/02/2023 06:32:37","11.0"
"100968","66.163.28.139","GE4","01/02/2023 06:33:18","01/02/2023 06:36:45","207.0"
"101619","VID 3001","GE4","01/02/2023 06:33:20","01/02/2023 06:34:01","41.0"
"100637","66.163.28.139","GE4","01/02/2023 06:33:21","01/02/2023 06:33:26","5.0"
"100382","66.163.28.139","GE3","01/02/2023 06:33:27","01/02/2023 06:37:54","267.0"
"103754","66.163.28.139","GE4","01/02/2023 06:33:43","01/02/2023 06:33:50","7.0"
"105241","142.163.206.244","GE5","01/02/2023 06:33:49","01/02/2023 06:34:39","50.0"
"103754","66.163.28.139","GE4","01/02/2023 06:34:05","01/02/2023 06:35:10","65.0"
"100844","207.219.150.148","GE4","01/02/2023 06:34:06","01/02/2023 06:36:21","135.0"
"107553","207.219.150.150","GE4","01/02/2023 06:34:23","01/02/2023 06:34:29","6.0"
"104784","207.219.150.150","GE2","01/02/2023 06:34:32","01/02/2023 06:34:34","2.0"
"102059","66.163.28.139","GE3","01/02/2023 06:34:44","01/02/2023 06:45:31","647.0"
"102991","216.21.135.198 3001","GE4","01/02/2023 06:34:46","01/02/2023 06:35:39","53.0"
"101619","VID 3001","GE4","01/02/2023 06:34:55","01/02/2023 06:35:37","42.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 06:34:56","01/02/2023 06:35:07","11.0"
"101619","VID 3001","GE4","01/02/2023 06:36:22","01/02/2023 06:37:08","46.0"
"104784","207.219.150.150","GE2","01/02/2023 06:36:24","01/02/2023 06:36:27","3.0"
"105075","207.219.150.144","GE4","01/02/2023 06:36:36","01/02/2023 06:36:50","14.0"
"101717","66.163.28.139 GE3","GE3","01/02/2023 06:36:51","01/02/2023 06:37:32","41.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 06:36:56","01/02/2023 06:37:34","38.0"
"100736","	Third Party Connectivity - Cogeco -120/20M","GE1","01/02/2023 06:36:58","01/02/2023 06:47:43","645.0"
"101733","74.49.174.204","GE1","01/02/2023 06:37:07","01/02/2023 06:37:14","7.0"
"105075","207.219.150.144","GE4","01/02/2023 06:38:01","01/02/2023 06:38:26","25.0"
"101733","74.49.174.204","GE1","01/02/2023 06:38:03","01/02/2023 06:49:08","665.0"
"100730","GoCo LTE Backup","GE6","01/02/2023 06:38:05","01/02/2023 06:40:13","128.0"
"101717","66.163.28.139 GE3","GE3","01/02/2023 06:38:12","01/02/2023 06:39:04","52.0"
"101646","66.163.28.139","GE4","01/02/2023 06:38:18","01/02/2023 06:42:32","254.0"
"100426","207.219.150.145","GE4","01/02/2023 06:38:22","01/02/2023 06:39:07","45.0"
"101619","VID 3001","GE4","01/02/2023 06:38:52","01/02/2023 08:20:22","6090.0"
"102991","216.21.135.198 3001","GE4","01/02/2023 06:39:17","01/02/2023 06:40:56","99.0"
"105075","207.219.150.144","GE4","01/02/2023 06:39:24","01/02/2023 06:39:33","9.0"
"101614","66.163.28.139","GE4","01/02/2023 06:39:26","01/02/2023 06:40:04","38.0"
"105075","207.219.150.144","GE4","01/02/2023 06:39:58","01/02/2023 06:50:45","647.0"
"100568","66.163.28.139","GE2","01/02/2023 06:40:10","01/02/2023 06:41:22","72.0"
"100568","74.49.159.204","GE1","01/02/2023 06:40:14","01/02/2023 06:41:25","71.0"
"102932","207.219.150.144","GE2","01/02/2023 06:40:19","01/02/2023 06:41:04","45.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 06:40:22","01/02/2023 06:40:36","14.0"
"101646","74.49.143.204","GE3","01/02/2023 06:40:41","01/02/2023 06:40:44","3.0"
"101646","74.49.143.204","GE3","01/02/2023 06:40:58","01/02/2023 06:41:15","17.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 06:41:27","01/02/2023 06:41:59","32.0"
"101646","74.49.143.204","GE3","01/02/2023 06:41:27","01/02/2023 06:41:39","12.0"
"101646","74.49.143.204","GE3","01/02/2023 06:41:57","01/02/2023 06:52:50","653.0"
"106882","74.49.143.204","GE5","01/02/2023 06:41:59","01/02/2023 06:42:40","41.0"
"101224","74.49.190.204","GE1","01/02/2023 06:42:13","01/02/2023 06:42:32","19.0"
"100426","207.219.150.145","GE4","01/02/2023 06:42:22","01/02/2023 06:43:07","45.0"
"102212","207.219.150.145","GE4","01/02/2023 06:42:24","01/02/2023 06:44:13","109.0"
"100730","GoCo LTE Backup","GE6","01/02/2023 06:42:29","01/02/2023 06:44:33","124.0"
"101646","66.163.28.139","GE4","01/02/2023 06:43:00","01/02/2023 06:43:27","27.0"
"100352","66.163.28.139","GE4","01/02/2023 06:43:43","01/02/2023 06:44:24","41.0"
"101490","207.219.150.151","GE2","01/02/2023 06:44:34","01/02/2023 06:44:44","10.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 06:44:43","01/02/2023 06:44:52","9.0"
"102646","207.219.150.150","GE4","01/02/2023 06:45:22","01/02/2023 06:45:37","15.0"
"100426","207.219.150.145","GE4","01/02/2023 06:45:52","01/02/2023 06:46:37","45.0"
"102059","66.163.28.139","GE3","01/02/2023 06:45:57","01/02/2023 06:48:48","171.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 06:46:05","01/02/2023 06:46:34","29.0"
"100153","66.163.28.139","GE6","01/02/2023 06:46:35","01/02/2023 06:47:03","28.0"
"103363","24.201.123.241","GE3","01/02/2023 06:46:36","01/02/2023 06:46:47","11.0"
"101717","66.163.28.139 GE3","GE3","01/02/2023 06:46:38","01/02/2023 06:48:36","118.0"
"100730","GoCo LTE Backup","GE6","01/02/2023 06:47:19","01/02/2023 06:47:19","0.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 06:48:29","01/02/2023 06:48:51","22.0"
"101490","207.219.150.151","GE2","01/02/2023 06:48:30","01/02/2023 06:49:48","78.0"
"101080","207.229.38.105","GE2","01/02/2023 06:49:05","01/02/2023 06:50:12","67.0"
"100736","207.219.150.147","GE2","01/02/2023 06:49:06","01/02/2023 06:49:07","1.0"
"102059","66.163.28.139","GE3","01/02/2023 06:49:18","01/02/2023 06:52:04","166.0"
"102483","66.163.28.139","GE6","01/02/2023 06:49:48","01/02/2023 06:51:23","95.0"
"102483","66.163.28.139","GE6","01/02/2023 06:49:48","01/02/2023 06:51:23","95.0"
"102483","207.219.150.148","GE6","01/02/2023 06:49:48","01/02/2023 06:51:24","96.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 06:50:08","01/02/2023 06:50:15","7.0"
"108366","207.219.150.147","GE2","01/02/2023 06:50:14","01/02/2023 06:50:16","2.0"
"101080","207.229.38.105","GE2","01/02/2023 06:50:26","01/02/2023 06:52:14","108.0"
"101717","66.163.28.139 GE3","GE3","01/02/2023 06:50:37","01/02/2023 06:50:48","11.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 06:51:21","01/02/2023 06:51:36","15.0"
"100426","207.219.150.145","GE4","01/02/2023 06:51:52","01/02/2023 06:52:37","45.0"
"102646","207.219.150.150","GE4","01/02/2023 06:51:52","01/02/2023 06:52:37","45.0"
"103363","24.201.123.241","GE3","01/02/2023 06:52:03","01/02/2023 06:52:12","9.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 06:52:20","01/02/2023 06:52:37","17.0"
"101490","207.219.150.151","GE2","01/02/2023 06:52:30","01/02/2023 07:10:32","1082.0"
"103363","24.201.123.241","GE3","01/02/2023 06:53:14","01/02/2023 06:53:22","8.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 06:53:17","01/02/2023 06:54:05","48.0"
"101733","74.49.174.204","GE1","01/02/2023 06:53:36","01/02/2023 06:55:14","98.0"
"102059","66.163.28.139","GE3","01/02/2023 06:53:40","01/02/2023 06:55:41","121.0"
"101646","74.49.143.204","GE3","01/02/2023 06:54:38","01/02/2023 06:54:44","6.0"
"100730","GoCo LTE Backup","GE6","01/02/2023 06:54:53","01/02/2023 06:55:01","8.0"
"101646","74.49.143.204","GE3","01/02/2023 06:55:08","01/02/2023 06:55:19","11.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 06:55:10","01/02/2023 06:55:23","13.0"
"102646","207.219.150.150","GE4","01/02/2023 06:55:22","01/02/2023 06:56:07","45.0"
"100736","	Third Party Connectivity - Cogeco -120/20M","GE1","01/02/2023 06:55:47","01/02/2023 06:56:00","13.0"
"102059","66.163.28.139","GE3","01/02/2023 06:55:51","01/02/2023 07:02:02","371.0"
"100426","207.219.150.145","GE4","01/02/2023 06:55:52","01/02/2023 06:56:37","45.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 06:56:08","01/02/2023 06:56:56","48.0"
"101646","74.49.143.204","GE3","01/02/2023 06:56:20","01/02/2023 06:56:28","8.0"
"101646","74.49.143.204","GE3","01/02/2023 06:56:44","01/02/2023 06:56:51","7.0"
"101733","74.49.174.204","GE1","01/02/2023 06:56:47","01/02/2023 06:58:32","105.0"
"100844","207.219.150.148","GE4","01/02/2023 06:57:06","01/02/2023 07:10:51","825.0"
"100736","	Third Party Connectivity - Cogeco -120/20M","GE1","01/02/2023 06:57:12","01/02/2023 06:57:31","19.0"
"101646","74.49.143.204","GE3","01/02/2023 06:57:17","01/02/2023 06:57:25","8.0"
"101646","74.49.143.204","GE3","01/02/2023 06:57:36","01/02/2023 06:57:47","11.0"
"108366","207.219.150.147","GE2","01/02/2023 06:57:50","01/02/2023 06:58:42","52.0"
"100736","	Third Party Connectivity - Cogeco -120/20M","GE1","01/02/2023 06:58:33","01/02/2023 06:58:41","8.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 06:59:39","01/02/2023 06:59:54","15.0"
"100637","66.163.28.139","GE4","01/02/2023 07:00:24","01/02/2023 07:00:31","7.0"
"101646","74.49.143.204","GE3","01/02/2023 07:00:30","01/02/2023 07:00:44","14.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 07:00:41","01/02/2023 07:00:44","3.0"
"101646","74.49.143.204","GE3","01/02/2023 07:00:51","01/02/2023 07:01:10","19.0"
"100736","	Third Party Connectivity - Cogeco -120/20M","GE1","01/02/2023 07:01:04","01/02/2023 07:11:55","651.0"
"108517","Bell 50/10M VDSL  5143316214		E82C6DAEEB94","GE5","01/02/2023 07:01:13","01/02/2023 07:01:22","9.0"
"101646","74.49.143.204","GE3","01/02/2023 07:01:51","01/02/2023 07:01:55","4.0"
"100382","66.163.28.139","GE3","01/02/2023 07:02:03","01/02/2023 07:07:33","330.0"
"100717","66.163.28.139","GE4","01/02/2023 07:02:54","01/02/2023 07:13:44","650.0"
"100717","66.163.28.139","GE4","01/02/2023 07:02:54","01/02/2023 07:13:56","662.0"
"100717","74.49.159.204","GE3","01/02/2023 07:02:54","01/02/2023 07:13:56","662.0"
"101614","66.163.28.139","GE4","01/02/2023 07:03:14","01/02/2023 07:04:32","78.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 07:03:36","01/02/2023 07:04:07","31.0"
"101224","74.49.190.204","GE1","01/02/2023 07:03:36","01/02/2023 07:03:45","9.0"
"103087","216.21.135.198 A 250-491-9456","GE4","01/02/2023 07:03:44","01/02/2023 07:08:56","312.0"
"100153","66.163.28.139","GE6","01/02/2023 07:03:59","01/02/2023 07:04:19","20.0"
"104102","GoCo LTE Wireless backup","GE5","01/02/2023 07:04:11","01/02/2023 07:06:04","113.0"
"105407","74.198.130.140","GE4","01/02/2023 07:04:24","01/02/2023 07:04:26","2.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 07:04:51","01/02/2023 07:05:49","58.0"
"102646","207.219.150.150","GE4","01/02/2023 07:04:52","01/02/2023 07:08:07","195.0"
"101733","74.49.174.204","GE1","01/02/2023 07:04:57","01/02/2023 07:06:43","106.0"
"101646","74.49.143.204","GE3","01/02/2023 07:05:01","01/02/2023 07:05:09","8.0"
"100426","207.219.150.145","GE4","01/02/2023 07:05:52","01/02/2023 07:06:37","45.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 07:06:33","01/02/2023 07:06:54","21.0"
"102059","66.163.28.139","GE3","01/02/2023 07:06:53","01/02/2023 07:08:53","120.0"
"101733","74.49.174.204","GE1","01/02/2023 07:07:01","01/02/2023 07:08:38","97.0"
"101886","74.49.174.204","GE1","01/02/2023 07:07:22","01/02/2023 07:07:30","8.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 07:07:31","01/02/2023 07:07:45","14.0"
"101811","74.49.159.204","GE3","01/02/2023 07:08:01","01/02/2023 07:09:26","85.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 07:08:25","01/02/2023 07:09:07","42.0"
"107546","207.219.150.146","GE4","01/02/2023 07:08:42","01/02/2023 07:11:27","165.0"
"102059","66.163.28.139","GE3","01/02/2023 07:09:28","01/02/2023 07:14:39","311.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 07:09:58","01/02/2023 07:10:38","40.0"
"103087","216.21.135.198 A 250-491-9456","GE4","01/02/2023 07:10:14","01/02/2023 07:12:52","158.0"
"101646","74.49.143.204","GE3","01/02/2023 07:10:38","01/02/2023 07:10:41","3.0"
"101811","74.49.159.204","GE3","01/02/2023 07:10:45","01/02/2023 07:11:56","71.0"
"101646","74.49.143.204","GE3","01/02/2023 07:11:19","01/02/2023 07:11:28","9.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 07:11:30","01/02/2023 07:11:38","8.0"
"101733","74.49.174.204","GE1","01/02/2023 07:11:41","01/02/2023 07:13:29","108.0"
"101614","66.163.28.139","GE4","01/02/2023 07:12:23","01/02/2023 07:13:00","37.0"
"100736","207.219.150.147","GE2","01/02/2023 07:12:25","01/02/2023 07:12:25","0.0"
"101646","74.49.143.204","GE3","01/02/2023 07:12:36","01/02/2023 07:12:45","9.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 07:12:43","01/02/2023 07:15:00","137.0"
"100426","207.219.150.145","GE4","01/02/2023 07:12:52","01/02/2023 07:13:37","45.0"
"103363","24.201.123.241","GE3","01/02/2023 07:13:12","01/02/2023 07:13:14","2.0"
"103128","66.163.28.139","GE4","01/02/2023 07:14:22","01/02/2023 07:14:29","7.0"
"103128","74.49.174.204","GE3","01/02/2023 07:14:22","01/02/2023 07:14:30","8.0"
"100736","	Third Party Connectivity - Cogeco -120/20M","GE1","01/02/2023 07:14:23","01/02/2023 07:14:41","18.0"
"100717","207.219.150.145","GE4","01/02/2023 07:14:26","01/02/2023 07:14:26","0.0"
"107549","207.229.38.104","GE4","01/02/2023 07:14:44","01/02/2023 08:23:32","4128.0"
"100008","66.163.28.139","GE2","01/02/2023 07:15:07","01/02/2023 07:15:45","38.0"
"100730","GoCo LTE Backup","GE6","01/02/2023 07:15:32","01/02/2023 07:15:55","23.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 07:16:01","01/02/2023 07:16:14","13.0"
"101614","66.163.28.139","GE4","01/02/2023 07:16:06","01/02/2023 07:18:43","157.0"
"100008","66.163.28.139","GE2","01/02/2023 07:16:28","01/02/2023 07:17:07","39.0"
"100352","66.163.28.139","GE4","01/02/2023 07:16:52","01/02/2023 07:17:33","41.0"
"102059","66.163.28.139","GE3","01/02/2023 07:16:55","01/02/2023 07:18:35","100.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 07:17:04","01/02/2023 07:17:17","13.0"
"101402","DSL 16M/1M Vlan 3002","GE4","01/02/2023 07:17:16","01/02/2023 07:18:29","73.0"
"101733","74.49.174.204","GE1","01/02/2023 07:17:41","01/02/2023 07:51:10","2009.0"
"101568","207.219.150.149","GE4","01/02/2023 07:17:59","01/02/2023 07:22:01","242.0"
"100730","Videotron 100/15M - Service 77706560-001-0","GE5","01/02/2023 07:18:37","01/02/2023 07:18:53","16.0"
